rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,stimulus,key_press,trial_stimulus,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,block_number,block_type,block_exposure_length,stimulus_displayed,question_order,question_stimuli,block_index
20889.60000014305,NA,stimuli-presentation,58,173694,0.0-30.0-1.0,SS1646459699292,NA,NA,trial,NA,40,NA,500,21389.60000014305,null,null,forced,500,3,simple,500,images/stimuli/simple_17_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,59,174665,0.0-30.0-0.1,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5,NA,stimuli-presentation,60,175173,0.0-30.0-1.1,SS1646459699292,NA,NA,trial,NA,40,NA,500,500.5,images/stimuli/simple_17_A_a.gif,images/stimuli/simple_10_A_a.gif,self-paced,500,3,simple,500,images/stimuli/simple_10_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,61,176223,0.0-30.0-0.2,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419.60000014305115,NA,stimuli-presentation,62,177150,0.0-30.0-1.2,SS1646459699292,NA,NA,trial,NA,40,NA,500,919.6000001430511,images/stimuli/simple_17_A_a.gif,images/stimuli/simple_10_A_a.gif,self-paced,500,3,simple,500,images/stimuli/simple_10_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,63,178312,0.0-30.0-0.3,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378.59999990463257,NA,stimuli-presentation,64,179206,0.0-30.0-1.3,SS1646459699292,NA,NA,trial,NA,40,NA,500,878.5999999046326,images/stimuli/simple_17_A_a.gif,images/stimuli/simple_10_A_a.gif,self-paced,500,3,simple,500,images/stimuli/simple_10_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,65,180445,0.0-30.0-0.4,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254.5,NA,stimuli-presentation,66,181206,0.0-30.0-1.4,SS1646459699292,NA,NA,trial,NA,40,NA,500,754.5,images/stimuli/simple_17_A_a.gif,images/stimuli/simple_10_A_a.gif,self-paced,500,3,simple,500,images/stimuli/simple_10_A_a.gif,NA,NA,NA
2831.5999999046326,"{""Q0"":""No""}",survey-multi-choice,67,184045,0.0-31.0,SS1646459699292,NA,NA,memory_test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_16_A_a.gif,3
null,NA,html-keyboard-response,68,185059,0.0-32.0,SS1646459699292,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,69,195885,0.0-33.0,SS1646459699292,NA,NA,NA,NA,null,NA,500,500,null,null,forced,10000,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,70,197886,0.0-34.0,SS1646459699292,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,71,198883,0.0-35.0-0.0,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12070.900000095367,NA,stimuli-presentation,72,207956,0.0-35.0-1.0,SS1646459699292,NA,NA,trial,NA,40,NA,500,12570.900000095367,null,null,forced,10000,4,simple,10000,images/stimuli/simple_03_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,73,208978,0.0-35.0-0.1,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,NA,stimuli-presentation,74,209925,0.0-35.0-1.1,SS1646459699292,NA,NA,trial,NA,40,NA,500,934,images/stimuli/simple_03_A_a.gif,images/stimuli/simple_01_A_a.gif,self-paced,10000,4,simple,10000,images/stimuli/simple_01_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,75,210912,0.0-35.0-0.2,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150.89999985694885,NA,stimuli-presentation,76,211566,0.0-35.0-1.2,SS1646459699292,NA,NA,trial,NA,40,NA,500,650.8999998569489,images/stimuli/simple_03_A_a.gif,images/stimuli/simple_01_A_a.gif,self-paced,10000,4,simple,10000,images/stimuli/simple_01_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,77,212653,0.0-35.0-0.3,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181.69999980926514,NA,stimuli-presentation,78,213342,0.0-35.0-1.3,SS1646459699292,NA,NA,trial,NA,40,NA,500,681.6999998092651,images/stimuli/simple_03_A_a.gif,images/stimuli/simple_01_A_a.gif,self-paced,10000,4,simple,10000,images/stimuli/simple_01_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,79,214548,0.0-35.0-0.4,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7346.200000047684,NA,stimuli-presentation,80,222398,0.0-35.0-1.4,SS1646459699292,NA,NA,trial,NA,40,NA,500,7846.200000047684,images/stimuli/simple_03_A_a.gif,images/stimuli/simple_01_A_a.gif,self-paced,10000,4,simple,10000,images/stimuli/simple_01_A_a.gif,NA,NA,NA
2333.2999999523163,"{""Q0"":""Yes""}",survey-multi-choice,81,224741,0.0-36.0,SS1646459699292,NA,NA,memory_test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_01_A_a.gif,4
null,NA,html-keyboard-response,82,225743,0.0-37.0,SS1646459699292,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,83,226246,0.0-38.0,SS1646459699292,NA,NA,NA,NA,null,NA,500,500,null,null,forced,500,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,84,227269,0.0-39.0,SS1646459699292,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,85,228433,0.0-40.0-0.0,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
