success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,stimulus_displayed,question_order
NA,html-keyboard-response,26,198731,0.0-18.0-6.0-0.9,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,27,219970,0.0-18.0-6.0-1.9,SS1651686913194,20731.599999964237,NA,NA,trial,NA,40,500,21231.599999964237,null,null,self_paced,0,NA,images/stimuli/complex_10_A_a.gif,NA
NA,html-keyboard-response,28,220804,0.0-18.0-6.0-0.10,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,29,230639,0.0-18.0-6.0-1.10,SS1651686913194,9328.800000011921,NA,NA,trial,NA,40,500,9828.80000001192,null,null,self_paced,0,NA,images/stimuli/complex_21_A_a.gif,NA
NA,html-keyboard-response,30,231614,0.0-18.0-6.0-0.11,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,31,237427,0.0-18.0-6.0-1.11,SS1651686913194,5307.899999976158,NA,NA,trial,NA,40,500,5807.899999976158,null,null,self_paced,0,NA,images/stimuli/complex_04_A_a.gif,NA
NA,html-keyboard-response,32,238281,0.0-18.0-6.0-0.12,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,33,238855,0.0-18.0-6.0-1.12,SS1651686913194,64.79999995231628,NA,NA,trial,NA,40,500,564.7999999523163,null,null,self_paced,0,NA,images/stimuli/complex_19_A_a.gif,NA
NA,html-keyboard-response,34,240037,0.0-18.0-6.0-0.13,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,35,243114,0.0-18.0-6.0-1.13,SS1651686913194,2571,NA,NA,trial,NA,40,500,3071,null,null,self_paced,0,NA,images/stimuli/simple_01_A_a.gif,NA
NA,html-keyboard-response,36,244191,0.0-18.0-6.0-0.14,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,37,246543,0.0-18.0-6.0-1.14,SS1651686913194,1846.199999988079,NA,NA,trial,NA,40,500,2346.199999988079,null,null,self_paced,0,NA,images/stimuli/complex_17_A_a.gif,NA
NA,html-keyboard-response,38,247797,0.0-18.0-6.0-0.15,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,39,249134,0.0-18.0-6.0-1.15,SS1651686913194,831.1999999880791,NA,NA,trial,NA,40,500,1331.199999988079,null,null,self_paced,0,NA,images/stimuli/complex_14_A_a.gif,NA
