subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619114018200,4,simple_dissimilar,4,background,background,simple,simple_12_A,189.80500000179745,forced_short,first half,0,background,NA,NA
SS1619114018200,4,simple_dissimilar,5,background,background,simple,simple_12_A,8.105000015348196,forced_short,first half,0,background,NA,NA
SS1619114018200,5,simple_dissimilar,1,background,background,simple,simple_09_A,188.21500000194646,self_paced,first half,2,background,3,4
SS1619114018200,5,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_18_A,39.009999978588894,self_paced,first half,2,first_deviant,3,4
SS1619114018200,5,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_18_A,210.39999998174608,self_paced,first half,2,second_deviant,3,4
SS1619114018200,5,simple_dissimilar,5,background,background,simple,simple_09_A,2841.439999989234,self_paced,first half,2,background,3,4
SS1619114018200,6,complex_dissimilar,1,background,background,complex,complex_08_A,647.8150000039022,self_paced,second half,0,background,NA,NA
SS1619114018200,6,complex_dissimilar,2,background,background,complex,complex_08_A,2633.67000001017,self_paced,second half,0,background,NA,NA
SS1619114018200,6,complex_dissimilar,3,background,background,complex,complex_08_A,1645.2949999948032,self_paced,second half,0,background,NA,NA
SS1619114018200,6,complex_dissimilar,4,background,background,complex,complex_08_A,107.29000001447275,self_paced,second half,0,background,NA,NA
SS1619114018200,6,complex_dissimilar,5,background,background,complex,complex_08_A,216.99499999522232,self_paced,second half,0,background,NA,NA
SS1619114018200,7,simple_dissimilar,1,background,background,simple,simple_01_A,866.3400000077672,self_paced,second half,1,background,2,NA
