,prolific_id,trial_type,rt,background,deviant,block_type,trial_index,fam_trial,total_rt,response,question_order,rating_type,response
245,612e780e6c97ea0e89274e66,instructions,31601.0,,,,3,,,,,,
246,613c542c957161802d700fb2,preload,,,,,0,,,,,,
247,613c542c957161802d700fb2,preload,,,,,0,,,,,,
248,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,15,8.0,,,,,
249,605d880baff3193baf90c875,survey-likert,3097.0,,,,35,,,{'Q0': 1},[0],background,{'Q0': 1}
250,60c1889edf71db16c09529fc,curtain-display,,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif,deviant,8,8.0,,,,,
251,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,14,8.0,,,,,
252,651659b4017f7a6da9b60ded,curtain-display,,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,deviant,12,4.0,,,,,
253,5fc3e4692ee48e75801407f2,fullscreen,,,,,1,,,,,,
254,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,12,8.0,,,,,
255,613aa9ee188e0f9351987678,instructions,26539.0,,,,7,,,,,,
256,60476ecfdd72a724ee081741,curtain-display,6273.0,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,12,4.0,6773.0,,,,
257,603b0cceef3baf7b6df2d475,curtain-display,,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,all_background,14,8.0,,,,,
258,612e780e6c97ea0e89274e66,curtain-display,,,,,4,,,,,,
259,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,deviant,36,4.0,,,,,
260,60f1afe91e1121676c67ebf5,instructions,4044.0,,,,3,,,,,,
261,60c1889edf71db16c09529fc,curtain-display,,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif,deviant,9,8.0,,,,,
262,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,15,8.0,,,,,
263,651659b4017f7a6da9b60ded,curtain-display,,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,deviant,13,4.0,,,,,
264,5ee942381a22491bbb7170f8,preload,,,,,0,,,,,,
265,5ee942381a22491bbb7170f8,preload,,,,,0,,,,,,
266,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,13,8.0,,,,,
267,613aa9ee188e0f9351987678,curtain-display,,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif,deviant,8,4.0,,,,,
268,5fc3e4692ee48e75801407f2,instructions,3968.0,,,,2,,,,,,
269,603b0cceef3baf7b6df2d475,curtain-display,,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,all_background,15,8.0,,,,,
270,5c19da4c5ead950001bdbe86,fullscreen,,,,,1,,,,,,
271,648251f5f13f3cab9a86e5cc,instructions,7795.0,,,,2,,,,,,
272,60476ecfdd72a724ee081741,survey-likert,4375.0,,,,13,,,{'Q0': 1},[0],background,{'Q0': 1}
273,612e780e6c97ea0e89274e66,curtain-display,,,,,5,,,,,,
274,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,deviant,37,4.0,,,,,
275,60f1afe91e1121676c67ebf5,curtain-display,,,,,4,,,,,,
276,60c1889edf71db16c09529fc,curtain-display,,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif,deviant,10,8.0,,,,,
277,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,16,8.0,,,,,
278,5ee942381a22491bbb7170f8,fullscreen,,,,,1,,,,,,
279,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,14,8.0,,,,,
280,613aa9ee188e0f9351987678,curtain-display,,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif,deviant,9,4.0,,,,,
281,5ea37cd0e9fb242ff94ccbc3,instructions,13804.0,,,,2,,,,,,
