prolific_id,rt,block_type,fam_trial,background,deviant,block_id
5fc3e4692ee48e75801407f2,1633,all_background,8,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_right_1.gif,4
601584d717cbb906851646b7,3957,deviant,4,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,4
6139eee41ad43c4931bda1ad,4093,deviant,8,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif,1
5fb7ba6eddba6439e8717276,4249,deviant,4,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif,4
60c0fe89173c2b1f4fe2c578,6870,all_background,0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,1
5ea37cd0e9fb242ff94ccbc3,578,all_background,8,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif,6
60e5e98326d94f93738053c5,1072,all_background,8,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,2
60c939c438c389b49847c08b,2421,all_background,8,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif,2
5fac2b70a5caa5166944b377,2428,all_background,0,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_left_2.gif,1
5fb7ba6eddba6439e8717276,5149,all_background,0,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,5
651f0db613e088e330392f63,3881,all_background,4,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif,1
5fbaee508e8e9695f06fe52e,3891,deviant,4,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif,5
60309a142458094108f37f73,7286,deviant,8,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif,2
613c542c957161802d700fb2,8778,deviant,4,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,2
6455acfdaa3afdee4d88e231,11811,deviant,0,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif,3
60c939c438c389b49847c08b,8006,deviant,0,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,3
5f1fd0d33f0d5e2075724c24,5730,all_background,0,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,1
6139eee41ad43c4931bda1ad,957,all_background,4,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif,2
5fbaee508e8e9695f06fe52e,3595,deviant,0,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,6
5ec31cab8be41217405324fc,513,all_background,8,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,5
6047a8d3410e81000af2e748,12434,all_background,0,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,1
60c0fe89173c2b1f4fe2c578,2288,deviant,4,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,2
6139eee41ad43c4931bda1ad,3071,deviant,0,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,3
5fd77c4c90c6f7094ff03bb6,7264,all_background,0,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,1
60309a142458094108f37f73,2218,all_background,4,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,3
60e5e98326d94f93738053c5,1858,deviant,8,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif,3
5fac2b70a5caa5166944b377,833,all_background,8,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif,2
601584d717cbb906851646b7,9356,deviant,8,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,5
5fb7ba6eddba6439e8717276,839,all_background,8,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,6
5ec31cab8be41217405324fc,710,all_background,4,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,6
60c939c438c389b49847c08b,9352,deviant,4,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,4
6047a8d3410e81000af2e748,2346,deviant,4,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,2
651f0db613e088e330392f63,877,deviant,8,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_left_1.gif,2
5d102402903d45000151ca7a,875,all_background,4,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,1
5c60c298af517e0001a00b00,12791,all_background,0,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,4
605cfe0825d0e0494ad7dc58,3264,all_background,8,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_left_2.gif,1
60757933273d2253ee159943,10109,deviant,0,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif,1
6455acfdaa3afdee4d88e231,9839,all_background,8,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif,4
651f0db613e088e330392f63,2004,all_background,0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,3
60309a142458094108f37f73,2597,deviant,4,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif,4
5f1fd0d33f0d5e2075724c24,2803,all_background,8,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif,2
60e5e98326d94f93738053c5,2640,deviant,4,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif,4
60c0fe89173c2b1f4fe2c578,2083,all_background,8,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif,3
5f8dc5a637ef2911ed0450c0,5235,all_background,4,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif,3
5a0e34c4087f2e0001eaeb47,2857,all_background,8,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif,3
6139eee41ad43c4931bda1ad,531,all_background,8,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,4
651f0db613e088e330392f63,2199,deviant,0,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_left_2.gif,4
5fd77c4c90c6f7094ff03bb6,997,all_background,8,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,2
60757933273d2253ee159943,6791,all_background,0,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif,2
60309a142458094108f37f73,1238,all_background,0,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif,5
601584d717cbb906851646b7,860,all_background,8,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,6
5f8dc5a637ef2911ed0450c0,9402,deviant,0,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_right_1.gif,4
5c5e0399943a720001850c2e,7912,deviant,0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,1
5fd77c4c90c6f7094ff03bb6,3579,deviant,0,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,3
605cfe0825d0e0494ad7dc58,4837,deviant,4,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif,2
64a8b44f258e4793875c0e86,2921,all_background,8,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,1
6047a8d3410e81000af2e748,1868,all_background,8,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_left_1.gif,3
60309a142458094108f37f73,4483,deviant,0,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif,6
6139eee41ad43c4931bda1ad,2421,deviant,4,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,5
60c0fe89173c2b1f4fe2c578,3226,all_background,4,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,4
5d102402903d45000151ca7a,966,all_background,8,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_right_2.gif,2
