prolific_id,rt,block_type,fam_trial,background,deviant
5bb34283c5888d000149402f,6984,deviant,1,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
61229c4b73dfef475196e2cd,274,deviant,3,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif
60bfd7f41bbb4ec7b94d0414,5220,deviant,1,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
5fc57392a614900c2bf80b5a,1006,all_background,9,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif
60801c084f4234dd058263c6,274,deviant,3,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif
5f7f5e8b8a10ca0f5fffd9f9,3981,all_background,9,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
60c7c5db21c408397f9ee0fc,3931,all_background,1,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
646bd5f01b9bf627d190c292,482,all_background,3,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_right_2.gif
5e67a7d13413ff01776d1ed8,5985,all_background,1,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif
57e0128d73e67300012b8085,8967,all_background,3,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_right_1.gif
6013d0e6bc81f72d3fe0f173,2932,deviant,9,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif
613fde0b34b0cbed4c9250ad,2000,all_background,1,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
6171b1bc917dfe828a3130dd,7069,deviant,9,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
6084499487b6d10d2aabda10,2588,deviant,9,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
6000e629a8f991222be27b07,8909,all_background,9,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_right_2.gif
614a65127dcd9777f0707cf4,4470,deviant,1,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif
5fc57392a614900c2bf80b5a,1292,deviant,1,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif
610392e34a7b8ed05fe9ba56,2460,all_background,1,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif
61229c4b73dfef475196e2cd,640,deviant,1,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif
613f9cb855a596a57d785da9,6107,deviant,3,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif
5ba85b3a46de410001ecf951,6534,deviant,1,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif
5ee8b6dbac5fa1054ebd60a7,4683,deviant,3,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif
5ec6d06c67b0da0fb6f85e83,1020,deviant,3,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif
5f3eb402c130cd1279a72530,499,all_background,3,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif
5f1669cf3136a01c1bdac33a,952,all_background,3,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
5d11ece877c94600195c452a,629,all_background,3,media/animal_stim/whitened/003_left_1.gif,media/animal_stim/whitened/003_left_2.gif
5d2faa74f821ee0019317da6,3093,all_background,1,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
5f7f5e8b8a10ca0f5fffd9f9,8192,deviant,1,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif
5f3b3d16d2664625fcfa73aa,8337,deviant,9,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_right_1.gif
5ed2994518f6bd211a146df2,5213,all_background,3,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
5acb2cb55cd1050001626ff6,4230,deviant,9,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif
5f0af097e7d15b3bf7734642,2523,all_background,3,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_left_2.gif
5ec6d06c67b0da0fb6f85e83,382,all_background,1,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif
5e8f740429529124dfc3e7a5,445,deviant,9,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif
5fc57392a614900c2bf80b5a,625,all_background,1,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_right_1.gif
5da3620eb16b4d0013af4c7f,3784,all_background,9,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif
6013d0e6bc81f72d3fe0f173,2331,all_background,3,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif
60c7c5db21c408397f9ee0fc,6971,all_background,3,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
5f2df57e756b8414ea47017f,2979,deviant,1,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif
5ba85b3a46de410001ecf951,4984,all_background,1,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif
60617c7346cd805e5bfc8893,10072,all_background,1,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_left_2.gif
610392e34a7b8ed05fe9ba56,2274,all_background,3,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif
5dfbefa35777b591c3999842,7151,deviant,3,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif
614a65127dcd9777f0707cf4,385,all_background,3,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif
5acb2cb55cd1050001626ff6,668,all_background,1,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
5f3ccceaac7ac7b57eb048c8,4331,all_background,9,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif
5ee8b6dbac5fa1054ebd60a7,9434,all_background,1,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_right_1.gif
615c2b8cd3a992e14730ada3,18,all_background,9,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif
613fde0b34b0cbed4c9250ad,254,deviant,3,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif
611023befc2052d878c7f50c,8915,deviant,1,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif
63d1669890385864068c055c,2475,all_background,9,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
5ba8fbf313a4e900017039a3,39,all_background,9,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif
6171b1bc917dfe828a3130dd,8801,deviant,3,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif
60d01f5f9dc279ad4e3b1e38,912,deviant,9,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_left_2.gif
6080e857302e6ac524abd6cd,3265,all_background,9,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_left_2.gif
5f359a0aa0b9125a3c6b8fff,7077,deviant,9,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif
610392e34a7b8ed05fe9ba56,2386,deviant,1,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif
60801c084f4234dd058263c6,81,deviant,9,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif
60c7c5db21c408397f9ee0fc,6818,deviant,1,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif
650902e959501e5c4c7f7f8d,5879,all_background,1,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif
60bfd7f41bbb4ec7b94d0414,4988,deviant,9,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_right_2.gif
5bb34283c5888d000149402f,5396,deviant,9,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif
6100b7d1d121da73b60c7b6e,3456,all_background,9,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif
5f3b3d16d2664625fcfa73aa,7927,deviant,1,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif
5fad264fdb48fd3b7878aea7,7169,deviant,3,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
5e67a7d13413ff01776d1ed8,5868,all_background,9,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif
613fde0b34b0cbed4c9250ad,1490,deviant,1,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
5c840aedbad8fb000106cb44,1242,deviant,1,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_left_1.gif
6171b1bc917dfe828a3130dd,2678,deviant,1,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif
5dfbefa35777b591c3999842,7146,deviant,1,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
60801c084f4234dd058263c6,121,all_background,1,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif
646bd5f01b9bf627d190c292,7810,deviant,9,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif
5f359a0aa0b9125a3c6b8fff,3127,deviant,1,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif
614a65127dcd9777f0707cf4,2491,deviant,3,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif
5e1829a4388ec910efd56602,1590,all_background,3,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif
615c2b8cd3a992e14730ada3,162,all_background,3,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif
5ee8b6dbac5fa1054ebd60a7,1625,all_background,3,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif
5ba8fbf313a4e900017039a3,1101,deviant,3,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
