rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,block_number,block_type,stimulus_displayed,question_order,question_stimuli,block_index,stimulus_left,stimulus_right,math_correct_answer
153.39999997615814,NA,stimuli-presentation,37,100797,0.0-12.0-1.1,SS1630642817043,NA,NA,trial,NA,40,500,653.3999999761581,images/stimuli/complex_14_A_a.gif,images/stimuli/complex_12_A_a.gif,self_paced,230,NA,2,complex_dissimilar,images/stimuli/complex_12_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,38,102088,0.0-12.0-0.2,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
525.1000000238419,NA,stimuli-presentation,39,103121,0.0-12.0-1.2,SS1630642817043,NA,NA,trial,NA,40,500,1025.1000000238419,images/stimuli/complex_14_A_a.gif,images/stimuli/complex_12_A_a.gif,self_paced,230,NA,2,complex_dissimilar,images/stimuli/complex_12_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,40,103941,0.0-12.0-0.3,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
255.5,NA,stimuli-presentation,41,104701,0.0-12.0-1.3,SS1630642817043,NA,NA,trial,NA,40,500,755.5,images/stimuli/complex_14_A_a.gif,images/stimuli/complex_12_A_a.gif,self_paced,230,NA,2,complex_dissimilar,images/stimuli/complex_12_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,42,105904,0.0-12.0-0.4,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
96.69999992847443,NA,stimuli-presentation,43,106506,0.0-12.0-1.4,SS1630642817043,NA,NA,trial,NA,40,500,596.6999999284744,images/stimuli/complex_14_A_a.gif,images/stimuli/complex_12_A_a.gif,self_paced,230,NA,2,complex_dissimilar,images/stimuli/complex_12_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,44,107811,0.0-12.0-0.5,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
394,NA,stimuli-presentation,45,108712,0.0-12.0-1.5,SS1630642817043,NA,NA,trial,NA,40,500,894,images/stimuli/complex_14_A_a.gif,images/stimuli/complex_12_A_a.gif,self_paced,230,NA,2,complex_dissimilar,images/stimuli/complex_12_A_a.gif,NA,NA,NA,NA,NA,NA
2639.7999999523163,"{""Q0"":4}",survey-likert,46,111354,0.0-13.0,SS1630642817043,NA,NA,curiousity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/complex_10_A_a.gif,2,NA,NA,NA
null,NA,html-keyboard-response,47,112190,0.0-14.0-0.0,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
126.29999995231628,NA,stimuli-presentation,48,112821,0.0-14.0-1.0,SS1630642817043,NA,NA,trial,NA,40,500,626.2999999523163,images/stimuli/simple_01_A_a.gif,images/stimuli/simple_04_A_a.gif,self_paced,310,NA,3,simple_dissimilar,images/stimuli/simple_04_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,49,113638,0.0-14.0-0.1,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
243.19999992847443,NA,stimuli-presentation,50,114386,0.0-14.0-1.1,SS1630642817043,NA,NA,trial,NA,40,500,743.1999999284744,images/stimuli/simple_01_A_a.gif,images/stimuli/simple_04_A_a.gif,self_paced,310,NA,3,simple_dissimilar,images/stimuli/simple_04_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,51,115673,0.0-14.0-0.2,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
172.20000004768372,NA,stimuli-presentation,52,116350,0.0-14.0-1.2,SS1630642817043,NA,NA,trial,NA,40,500,672.2000000476837,images/stimuli/simple_01_A_a.gif,images/stimuli/simple_04_A_a.gif,self_paced,310,NA,3,simple_dissimilar,images/stimuli/simple_04_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,53,117315,0.0-14.0-0.3,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
114.19999992847443,NA,stimuli-presentation,54,117937,0.0-14.0-1.3,SS1630642817043,NA,NA,trial,NA,40,500,614.1999999284744,images/stimuli/simple_01_A_a.gif,images/stimuli/simple_04_A_a.gif,self_paced,310,NA,3,simple_dissimilar,images/stimuli/simple_04_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,55,119230,0.0-14.0-0.4,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
658.6000000238419,NA,stimuli-presentation,56,120394,0.0-14.0-1.4,SS1630642817043,NA,NA,trial,NA,40,500,1158.6000000238419,images/stimuli/simple_01_A_a.gif,images/stimuli/simple_04_A_a.gif,self_paced,310,NA,3,simple_dissimilar,images/stimuli/simple_04_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,57,121293,0.0-14.0-0.5,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
246.39999997615814,NA,stimuli-presentation,58,122045,0.0-14.0-1.5,SS1630642817043,NA,NA,trial,NA,40,500,746.3999999761581,images/stimuli/simple_01_A_a.gif,images/stimuli/simple_04_A_a.gif,self_paced,310,NA,3,simple_dissimilar,images/stimuli/simple_01_A_a.gif,NA,NA,NA,NA,NA,NA
3178.399999976158,"{""Q0"":4}",survey-likert,59,125226,0.0-15.0,SS1630642817043,NA,NA,curiousity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_04_A_a.gif,3,NA,NA,NA
null,NA,html-keyboard-response,60,126478,0.0-16.0-0.0,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
