prolific_id,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type,background_id,background_animacy,background_pose,background_number,deviant_id,deviant_animacy,deviant_pose,deviant_number,same_animacy,same_number,same_pose,same_id
6595be0e8ac3f1327fec5bf8,5113,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_009_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,1,3,inanimate,pair,right,background,009,inanimate,right,pair,009,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,2869,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_006_right.png,animate_single_right,animate_pair_right,number,4,4,3,animate,single,right,deviant,006,animate,right,single,006,animate,right,pair,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,3129,background_block,media/padded_stims/inanimate_004_right.png,,inanimate_single_right,,animacy,4,1,3,inanimate,single,right,background,004,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA
6595be0e8ac3f1327fec5bf8,4325,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_009_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,2,3,inanimate,pair,right,background,009,inanimate,right,pair,009,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
65263de10f1e7475f5b1fc21,1421,background_block,media/padded_stims/inanimate_004_right.png,,inanimate_single_right,,animacy,4,2,3,inanimate,single,right,background,004,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA
605da94ba47f45380a1c7d57,1631,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_single_right,animate_single_right,animacy,2,1,4,inanimate,single,right,background,008,inanimate,right,single,012,animate,right,single,FALSE,TRUE,TRUE,FALSE
65263de10f1e7475f5b1fc21,1190,background_block,media/padded_stims/inanimate_004_right.png,,inanimate_single_right,,animacy,4,3,3,inanimate,single,right,background,004,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA
65263de10f1e7475f5b1fc21,628,background_block,media/padded_stims/inanimate_004_right.png,,inanimate_single_right,,animacy,4,4,3,inanimate,single,right,background,004,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA
6595be0e8ac3f1327fec5bf8,3338,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_009_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,3,3,inanimate,pair,right,background,009,inanimate,right,pair,009,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,3019,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/animate_012_right.png,inanimate_single_right,animate_single_right,animacy,2,2,4,inanimate,single,right,deviant,008,inanimate,right,single,012,animate,right,single,FALSE,TRUE,TRUE,FALSE
6595be0e8ac3f1327fec5bf8,3944,deviant_block,media/padded_stims/inanimate_009_right.png,media/padded_stims/inanimate_009_left.png,inanimate_pair_right,inanimate_pair_left,pose,4,4,3,inanimate,pair,right,deviant,009,inanimate,right,pair,009,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,1874,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/inanimate_003_left.png,inanimate_pair_left,inanimate_single_left,number,4,1,5,inanimate,pair,left,background,003,inanimate,left,pair,003,inanimate,left,single,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,2233,deviant_block,media/padded_stims/animate_004_right.png,media/padded_stims/animate_004_left.png,animate_pair_right,animate_pair_left,pose,2,1,4,animate,pair,right,background,004,animate,right,pair,004,animate,left,pair,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,1978,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/inanimate_003_left.png,inanimate_pair_left,inanimate_single_left,number,4,2,5,inanimate,pair,left,background,003,inanimate,left,pair,003,inanimate,left,single,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,1918,deviant_block,media/padded_stims/animate_004_right.png,media/padded_stims/animate_004_left.png,animate_pair_right,animate_pair_left,pose,2,2,4,animate,pair,right,deviant,004,animate,right,pair,004,animate,left,pair,TRUE,TRUE,FALSE,TRUE
605da94ba47f45380a1c7d57,1576,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/inanimate_003_left.png,inanimate_pair_left,inanimate_single_left,number,4,3,5,inanimate,pair,left,background,003,inanimate,left,pair,003,inanimate,left,single,TRUE,FALSE,TRUE,TRUE
605da94ba47f45380a1c7d57,1911,deviant_block,media/padded_stims/inanimate_003_left.png,media/padded_stims/inanimate_003_left.png,inanimate_pair_left,inanimate_single_left,number,4,4,5,inanimate,pair,left,deviant,003,inanimate,left,pair,003,inanimate,left,single,TRUE,FALSE,TRUE,TRUE
6595be0e8ac3f1327fec5bf8,5512,background_block,media/padded_stims/animate_001_left.png,,animate_pair_left,,background,2,1,4,animate,pair,left,background,001,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,1864,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,1,5,animate,single,right,background,008,animate,right,single,008,animate,right,pair,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,1115,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,2,5,animate,single,right,background,008,animate,right,single,008,animate,right,pair,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,1081,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,3,5,animate,single,right,background,008,animate,right,single,008,animate,right,pair,TRUE,FALSE,TRUE,TRUE
6595be0e8ac3f1327fec5bf8,4621,background_block,media/padded_stims/animate_001_left.png,,animate_pair_left,,background,2,2,4,animate,pair,left,background,001,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,646,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/animate_008_right.png,animate_single_right,animate_pair_right,number,4,4,5,animate,single,right,deviant,008,animate,right,single,008,animate,right,pair,TRUE,FALSE,TRUE,TRUE
605da94ba47f45380a1c7d57,1432,background_block,media/padded_stims/animate_001_right.png,,animate_pair_right,,background,2,1,6,animate,pair,right,background,001,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA
605da94ba47f45380a1c7d57,2087,background_block,media/padded_stims/animate_001_right.png,,animate_pair_right,,background,2,2,6,animate,pair,right,background,001,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA
65263de10f1e7475f5b1fc21,1942,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_010_left.png,inanimate_pair_left,animate_pair_left,animacy,6,1,6,inanimate,pair,left,background,010,inanimate,left,pair,010,animate,left,pair,FALSE,TRUE,TRUE,TRUE
605da94ba47f45380a1c7d57,2126,background_block,media/padded_stims/inanimate_012_left.png,,inanimate_pair_left,,background,4,1,7,inanimate,pair,left,background,012,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,1118,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_010_left.png,inanimate_pair_left,animate_pair_left,animacy,6,2,6,inanimate,pair,left,background,010,inanimate,left,pair,010,animate,left,pair,FALSE,TRUE,TRUE,TRUE
5b19a8072767e20001e4eaaf,3893,deviant_block,media/padded_stims/animate_012_left.png,media/padded_stims/animate_012_left.png,animate_pair_left,animate_single_left,number,4,1,2,animate,pair,left,background,012,animate,left,pair,012,animate,left,single,TRUE,FALSE,TRUE,TRUE
6595be0e8ac3f1327fec5bf8,6372,deviant_block,media/padded_stims/inanimate_004_left.png,media/padded_stims/animate_002_left.png,inanimate_pair_left,animate_pair_left,animacy,2,1,5,inanimate,pair,left,background,004,inanimate,left,pair,002,animate,left,pair,FALSE,TRUE,TRUE,FALSE
