"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"","html-keyboard-response","81","714305","0.0-25.0-0.6","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","82","720310","0.0-25.0-1.6","SS1620597812510","null","","","null","","trial","","1000","1000","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","83","722478","0.0-25.0-0.7","SS1620597812510","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","84","730284","0.0-25.0-1.7","SS1620597812510","61854.87500001909","","","40","","trial","","1000","62854.87500001909","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","85","734918","0.0-26.0","SS1620597812510","4632.639999967068","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","86","739592","0.0-27.0","SS1620597812510","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","87","740563","0.0-28.0-0.0","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","88","746568","0.0-28.0-1.0","SS1620597812510","null","","","null","","trial","","1000","1000","6","5","Dev","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","89","748795","0.0-28.0-0.1","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","90","754797","0.0-28.0-1.1","SS1620597812510","null","","","null","","trial","","1000","1000","6","5","Dev","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","91","755543","0.0-28.0-0.2","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","92","761550","0.0-28.0-1.2","SS1620597812510","null","","","null","","trial","","1000","1000","6","5","Dev","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","93","762218","0.0-28.0-0.3","SS1620597812510","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","94","801946","0.0-28.0-1.3","SS1620597812510","60380.344999954104","","","40","","trial","","1000","61380.344999954104","6","5","Dev","stimuli/images/spore_stims/simple_01_A.gif","right"
"","html-keyboard-response","95","1113112","0.0-29.0","SS1620597812510","311168.7599999714","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300;""> That's it! Thank you so much for your participation! </span></p>","40","","","","","","","","","",""
