"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"","stimuli-presentation","126","608565","0.0-32.0-1.3","SS1627326983998","","2000.2999999523163","trial","","40","500","2500.2999999523163","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_05_A_b.gif","",""
"","html-keyboard-response","127","609778","0.0-32.0-0.4","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","128","610355","0.0-32.0-1.4","SS1627326983998","","68.5","trial","","40","500","568.5","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_05_A_b.gif","",""
"","html-keyboard-response","129","611661","0.0-32.0-0.5","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","130","612418","0.0-32.0-1.5","SS1627326983998","","242.89999997615814","trial","","40","500","742.8999999761581","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_05_A_b.gif","",""
"","html-keyboard-response","131","613475","0.0-32.0-0.6","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","132","615261","0.0-32.0-1.6","SS1627326983998","","1279.7000000476837","trial","","40","500","1779.7000000476837","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_01_A_a.gif","",""
"","survey-multi-choice","133","619463","0.0-33.0","SS1627326983998","","4197.400000035763","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_24_A_b.gif","7","","","","","",""
"","survey-multi-choice","134","622000","0.0-34.0","SS1627326983998","","2529.599999964237","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_01_A_a.gif","7","","","","","",""
"","instructions","135","626069","0.0-35.0","SS1627326983998","[{""page_index"":0,""viewing_time"":4064.100000023842}]","4064.899999976158","instructions","","","","","","","","","","","","","","","","","",""
