"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","383.4200003184378","sequential-stimulus-presentation","67","136239","0.0-17.0-1.2","SS1613079990976","trial","","40","800","1183.4200003184378","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","68","137089","0.0-17.0-0.3","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","638.5000003501773","sequential-stimulus-presentation","69","138540","0.0-17.0-1.3","SS1613079990976","trial","","40","800","1438.5000003501773","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_18_A_d.gif","right","","","","",""
"","null","html-keyboard-response","70","139814","0.0-17.0-0.4","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1428.319999948144","sequential-stimulus-presentation","71","142048","0.0-17.0-1.4","SS1613079990976","trial","","40","800","2228.319999948144","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","72","142863","0.0-17.0-0.5","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1586.2949998117983","sequential-stimulus-presentation","73","145260","0.0-17.0-1.5","SS1613079990976","trial","","40","800","2386.2949998117983","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","74","146255","0.0-17.0-0.6","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","735.7050003483891","sequential-stimulus-presentation","75","147797","0.0-17.0-1.6","SS1613079990976","trial","","40","800","1535.7050003483891","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","76","148835","0.0-17.0-0.7","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","740.4249999672174","sequential-stimulus-presentation","77","150382","0.0-17.0-1.7","SS1613079990976","trial","","40","800","1540.4249999672174","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","1148.8749999552965","html-keyboard-response","78","151550","0.0-18.0","SS1613079990976","pref_question","","50","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","3","","","","","","","",""
"","416.6500000283122","sequential-stimulus-presentation","79","152774","0.0-19.0","SS1613079990976","pref_reveal","","40","800","1216.6500000283122","null","null","","","","","3","","","","background","","","",""
"","null","html-keyboard-response","80","154043","0.0-20.0-0.0","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
