"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"","453.7049999926239","sequential-stimulus-presentation","73","109081","0.0-17.0-1.5","SS1613099237624","trial","","40","800","1253.704999992624","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","74","109888","0.0-17.0-0.6","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","473.7500000046566","sequential-stimulus-presentation","75","111169","0.0-17.0-1.6","SS1613099237624","trial","","40","800","1273.7500000046566","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","76","112359","0.0-17.0-0.7","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","780.7949999987613","sequential-stimulus-presentation","77","113956","0.0-17.0-1.7","SS1613099237624","trial","","40","800","1580.7949999987613","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_19_A_b.gif","middle",""
"","1541.6200000036042","html-keyboard-response","78","115505","0.0-18.0","SS1613099237624","pref_question","","49","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","3","","","",""
"","1118.4549999888986","sequential-stimulus-presentation","79","117487","0.0-19.0","SS1613099237624","pref_reveal","","40","800","1918.4549999888986","null","null","","","","","3","","","","novel"
"","null","html-keyboard-response","80","118433","0.0-20.0-0.0","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","409.37499998835847","sequential-stimulus-presentation","81","119658","0.0-20.0-1.0","SS1613099237624","trial","","40","800","1209.3749999883585","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
"","null","html-keyboard-response","82","120490","0.0-20.0-0.1","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","363.2450000150129","sequential-stimulus-presentation","83","121676","0.0-20.0-1.1","SS1613099237624","trial","","40","800","1163.245000015013","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
"","null","html-keyboard-response","84","122957","0.0-20.0-0.2","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
