"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","222.7949999505654","trial","sequential-stimulus-presentation","360","787082","0.0-64.0-1.2","SS1611976444667","","40","900","1122.7949999505654","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","361","788300","0.0-64.0-0.3","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","274.00499989744276","trial","sequential-stimulus-presentation","362","789574","0.0-64.0-1.3","SS1611976444667","","40","900","1174.0049998974428","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","363","790901","0.0-64.0-0.4","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","730.7199999922886","trial","sequential-stimulus-presentation","364","792629","0.0-64.0-1.4","SS1611976444667","","40","900","1630.7199999922886","","","","19","images/stimuli/spore_stims/simple_08_B_d.gif","right","","","","",""
"","null","","html-keyboard-response","365","793649","0.0-64.0-0.5","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","622.525000013411","trial","sequential-stimulus-presentation","366","795275","0.0-64.0-1.5","SS1611976444667","","40","900","1522.525000013411","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","367","796198","0.0-64.0-0.6","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","267.4899999983609","trial","sequential-stimulus-presentation","368","797466","0.0-64.0-1.6","SS1611976444667","","40","900","1167.4899999983609","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","369","798508","0.0-64.0-0.7","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","395.0049999402836","trial","sequential-stimulus-presentation","370","799900","0.0-64.0-1.7","SS1611976444667","","40","900","1295.0049999402836","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","1266.3549999706447","pref_question","html-keyboard-response","371","801261","0.0-65.0","SS1611976444667","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","19","","","","","","",""
"","1276.9150000531226","pref_reveal","sequential-stimulus-presentation","372","803535","0.0-66.0","SS1611976444667","","40","900","2176.9150000531226","","","","19","","","novel","","","",""
"[{""page_index"":0,""viewing_time"":93180.65500003286}]","93181.12000008114","instructions","instructions","373","896810","0.0-67.0","SS1611976444667","","","","","","","","","","","","","","",""
"","182465.31500003766","similarity_question","survey-likert","374","1079394","0.0-68.0","SS1611976444667","","","","","","","","","","","","{""Q0"":4}","[0]","images/stimuli/spore_stims/complex_15_A_a.gif","images/stimuli/spore_stims/complex_15_B_a.gif"
"","4815.000000060536","similarity_question","survey-likert","375","1084308","0.0-69.0","SS1611976444667","","","","","","","","","","","","{""Q0"":4}","[0]","images/stimuli/spore_stims/simple_02_A_d.gif","images/stimuli/spore_stims/simple_08_B_d.gif"
