"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"","null","","html-keyboard-response","293","480092","0.0-52.0-0.5","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","682.5149999931455","trial","sequential-stimulus-presentation","294","481721","0.0-52.0-1.5","SS1611940976610","","40","900","1582.5149999931455","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","295","482737","0.0-52.0-0.6","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","667.5299999769777","trial","sequential-stimulus-presentation","296","484364","0.0-52.0-1.6","SS1611940976610","","40","900","1567.5299999769777","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","297","485606","0.0-52.0-0.7","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","845.339999999851","trial","sequential-stimulus-presentation","298","487415","0.0-52.0-1.7","SS1611940976610","","40","900","1745.339999999851","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","299","488702","0.0-52.0-0.8","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","225.13500007335097","trial","sequential-stimulus-presentation","300","489892","0.0-52.0-1.8","SS1611940976610","","40","900","1125.135000073351","","","","15","images/stimuli/spore_stims/complex_15_A_b.gif","left",""
"","1273.0499999597669","pref_question","html-keyboard-response","301","491227","0.0-53.0","SS1611940976610","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","15","","",""
"","2149.600000004284","pref_reveal","sequential-stimulus-presentation","302","494337","0.0-54.0","SS1611940976610","","40","900","3049.600000004284","","","","15","","","novel"
