"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","","html-keyboard-response","141","258271","0.0-28.0-0.4","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","812.4049999969429","trial","sequential-stimulus-presentation","142","259791","0.0-28.0-1.4","SS1612117478452","","40","700","1512.404999996943","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","143","260943","0.0-28.0-0.5","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","623.9499999973923","trial","sequential-stimulus-presentation","144","262274","0.0-28.0-1.5","SS1612117478452","","40","700","1323.9499999973923","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","145","263263","0.0-28.0-0.6","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","555.915000000794","trial","sequential-stimulus-presentation","146","264525","0.0-28.0-1.6","SS1612117478452","","40","700","1255.915000000794","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","147","265556","0.0-28.0-0.7","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","973.6349999984377","trial","sequential-stimulus-presentation","148","267239","0.0-28.0-1.7","SS1612117478452","","40","700","1673.6349999984377","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","149","268184","0.0-28.0-0.8","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1083.6099999978906","trial","sequential-stimulus-presentation","150","269974","0.0-28.0-1.8","SS1612117478452","","40","700","1783.6099999978906","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_03_A_b.gif","middle","","","","",""
"","1226.3500000007916","pref_question","html-keyboard-response","151","271203","0.0-29.0","SS1612117478452","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","7","","","","","","","",""
"","2615.474999998696","pref_reveal","sequential-stimulus-presentation","152","274529","0.0-30.0","SS1612117478452","","40","700","3315.474999998696","","","","7","","","","novel","","","",""
"","null","","html-keyboard-response","153","275511","0.0-31.0-0.0","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2372.849999999744","trial","sequential-stimulus-presentation","154","278594","0.0-31.0-1.0","SS1612117478452","","40","700","3072.849999999744","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
"","null","","html-keyboard-response","155","279755","0.0-31.0-0.1","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2205.3649999980116","trial","sequential-stimulus-presentation","156","282672","0.0-31.0-1.1","SS1612117478452","","40","700","2905.3649999980116","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
