subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619204697535,1,simple_dissimilar,1,background,background,simple,simple_13_A,32470.06500000134,self_paced,first half,1,background,5,NA
SS1619204697535,1,simple_dissimilar,2,background,background,simple,simple_13_A,37900.42000001995,self_paced,first half,1,background,5,NA
SS1619204697535,1,simple_dissimilar,3,background,background,simple,simple_13_A,25517.595000041183,self_paced,first half,1,background,5,NA
SS1619204697535,1,simple_dissimilar,4,background,background,simple,simple_13_A,24227.150000049733,self_paced,first half,1,background,5,NA
SS1619204697535,1,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_06_A,26503.425000002608,self_paced,first half,1,first_deviant,5,NA
SS1619204697535,2,simple_dissimilar,1,background,background,simple,simple_02_A,1196.479999984149,forced_short,first half,1,background,5,NA
SS1619204697535,2,simple_dissimilar,2,background,background,simple,simple_02_A,28432.79499997152,forced_short,first half,1,background,5,NA
SS1619204697535,2,simple_dissimilar,3,background,background,simple,simple_02_A,14510.710000002291,forced_short,first half,1,background,5,NA
SS1619204697535,2,simple_dissimilar,4,background,background,simple,simple_02_A,15685.639999981504,forced_short,first half,1,background,5,NA
SS1619204697535,2,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_11_A,10460.744999989402,forced_short,first half,1,first_deviant,5,NA
SS1619204697535,2,simple_dissimilar,6,background,background,simple,simple_02_A,17525.89500002796,forced_short,first half,1,background,5,NA
SS1619204697535,3,simple_dissimilar,1,background,background,simple,simple_18_A,674.8749999678694,forced_long,first half,2,background,2,4
SS1619204697535,3,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_15_A,40896.44500002032,forced_long,first half,2,first_deviant,2,4
SS1619204697535,3,simple_dissimilar,3,background,background,simple,simple_18_A,28549.170000012964,forced_long,first half,2,background,2,4
SS1619204697535,3,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_15_A,19204.385000048205,forced_long,first half,2,second_deviant,2,4
SS1619204697535,3,simple_dissimilar,5,background,background,simple,simple_18_A,25846.66500001913,forced_long,first half,2,background,2,4
SS1619204697535,4,simple_dissimilar,1,background,background,simple,simple_07_A,37756.825000047684,self_paced,first half,2,background,2,3
