"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"","sequential-stimulus-presentation","56","549643","0.0-22.0-1.2","SS1619186552889","null","","","null","","trial","","1000","1000","5","3","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","57","550943","0.0-22.0-0.3","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","58","556947","0.0-22.0-1.3","SS1619186552889","null","","","null","","trial","","1000","1000","5","3","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","59","558362","0.0-22.0-0.4","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","60","564366","0.0-22.0-1.4","SS1619186552889","null","","","null","","trial","","1000","1000","5","3","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","61","564998","0.0-22.0-0.5","SS1619186552889","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","62","581921","0.0-22.0-1.5","SS1619186552889","53609.41999987699","","","40","","trial","","1000","54609.41999987699","5","3","Dev","stimuli/images/spore_stims/simple_12_A.gif","left"
"","html-keyboard-response","63","583789","0.0-23.0","SS1619186552889","1866.1299999803305","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","64","588443","0.0-24.0","SS1619186552889","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","65","589609","0.0-25.0-0.0","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","66","595616","0.0-25.0-1.0","SS1619186552889","null","","","null","","trial","","1000","1000","5","4","Std","stimuli/images/spore_stims/simple_05_A.gif","left"
"","html-keyboard-response","67","597809","0.0-25.0-0.1","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","68","603815","0.0-25.0-1.1","SS1619186552889","null","","","null","","trial","","1000","1000","5","4","Std","stimuli/images/spore_stims/simple_05_A.gif","left"
"","html-keyboard-response","69","605293","0.0-25.0-0.2","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","70","611295","0.0-25.0-1.2","SS1619186552889","null","","","null","","trial","","1000","1000","5","4","Std","stimuli/images/spore_stims/simple_05_A.gif","left"
"","html-keyboard-response","71","613246","0.0-25.0-0.3","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","72","619249","0.0-25.0-1.3","SS1619186552889","null","","","null","","trial","","1000","1000","5","4","Std","stimuli/images/spore_stims/simple_05_A.gif","left"
