subject,block_number,block_type,forced_exposure_time,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1646459697109,2,simple,500,memory,NA,3,background,1683.1000000014901,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697109,2,simple,500,memory,NA,4,background,2758.89999999851,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697109,2,simple,500,memory,NA,5,background,1269.9000000022352,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697109,2,simple,500,memory,NA,6,background,1404.1000000014901,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697109,3,simple,500,memory,2,1,background,500,images/stimuli/simple_15_A_a.gif,memory_novel,FALSE
SS1646459697109,3,simple,500,memory,2,2,deviant,5254.599999997765,images/stimuli/simple_20_A_a.gif,memory_background,TRUE
SS1646459697109,3,simple,500,memory,2,3,background,2312.5,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697109,3,simple,500,memory,2,4,background,1972,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697109,3,simple,500,memory,2,5,background,2804.7000000029802,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697109,3,simple,500,memory,2,6,background,3751,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697109,4,simple,10000,memory,NA,1,background,10000,images/stimuli/simple_04_A_a.gif,memory_novel,FALSE
SS1646459697109,4,simple,10000,memory,NA,2,background,2686.900000002235,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697109,4,simple,10000,memory,NA,3,background,2307.10000000149,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697109,4,simple,10000,memory,NA,4,background,3434.800000000745,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697109,4,simple,10000,memory,NA,5,background,650.3000000007451,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697109,4,simple,10000,memory,NA,6,background,919.4000000022352,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697109,5,simple,10000,memory,4,1,background,10000,images/stimuli/simple_16_A_a.gif,memory_novel,FALSE
SS1646459697109,5,simple,10000,memory,4,2,background,4269.300000000745,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697109,5,simple,10000,memory,4,3,background,1979,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697109,5,simple,10000,memory,4,4,deviant,1470.800000000745,images/stimuli/simple_05_A_a.gif,memory_background,TRUE
SS1646459697109,5,simple,10000,memory,4,5,background,901,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697109,5,simple,10000,memory,4,6,background,823,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697109,6,simple,10000,memory,2,1,background,10000,images/stimuli/simple_08_A_a.gif,memory_novel,FALSE
SS1646459697109,6,simple,10000,memory,2,2,deviant,3801.10000000149,images/stimuli/simple_11_A_a.gif,memory_background,TRUE
SS1646459697109,6,simple,10000,memory,2,3,background,1694.199999999255,images/stimuli/simple_08_A_a.gif,memory_background,TRUE
SS1646459697109,6,simple,10000,memory,2,4,background,1468.1000000014901,images/stimuli/simple_08_A_a.gif,memory_background,TRUE
SS1646459697109,6,simple,10000,memory,2,5,background,1497.8999999985099,images/stimuli/simple_08_A_a.gif,memory_background,TRUE
SS1646459697109,6,simple,10000,memory,2,6,background,943.1000000014901,images/stimuli/simple_08_A_a.gif,memory_background,TRUE
SS1646459697109,7,complex,500,memory,6,1,background,500,images/stimuli/complex_11_A_a.gif,memory_novel,FALSE
SS1646459697109,7,complex,500,memory,6,2,background,4993.29999999702,images/stimuli/complex_11_A_a.gif,memory_background,TRUE
SS1646459697109,7,complex,500,memory,6,3,background,3164.300000000745,images/stimuli/complex_11_A_a.gif,memory_background,TRUE
SS1646459697109,7,complex,500,memory,6,4,background,1325.9000000022352,images/stimuli/complex_11_A_a.gif,memory_background,TRUE
