"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"506.40000000596046","","stimuli-presentation","118","249427","0.0-50.0-1.2","SS1646459694618","","","trial","","40","","500","1006.4000000059605","images/stimuli/simple_03_A_a.gif","images/stimuli/simple_12_A_a.gif","self-paced","500","7","simple","500","images/stimuli/simple_12_A_a.gif","","",""
"null","","html-keyboard-response","119","250656","0.0-50.0-0.3","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"877.2999999821186","","stimuli-presentation","120","252036","0.0-50.0-1.3","SS1646459694618","","","trial","","40","","500","1377.2999999821186","images/stimuli/simple_03_A_a.gif","images/stimuli/simple_12_A_a.gif","self-paced","500","7","simple","500","images/stimuli/simple_12_A_a.gif","","",""
"null","","html-keyboard-response","121","253069","0.0-50.0-0.4","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"727.5","","stimuli-presentation","122","254299","0.0-50.0-1.4","SS1646459694618","","","trial","","40","","500","1227.5","images/stimuli/simple_03_A_a.gif","images/stimuli/simple_12_A_a.gif","self-paced","500","7","simple","500","images/stimuli/simple_12_A_a.gif","","",""
"2278.5","{""Q0"":""Yes""}","survey-multi-choice","123","256579","0.0-51.0","SS1646459694618","","","memory_test","","","","","","","","","","","","","","[0]","images/stimuli/simple_12_A_a.gif","7"
"","","fullscreen","124","257589","0.0-52.0","SS1646459694618","true","","","","","","","","","","","","","","","","","",""
"2540.2000000178814","","instructions","125","260131","0.0-53.0","SS1646459694618","","[{""page_index"":0,""viewing_time"":2540}]","instructions","","","","","","","","","","","","","","","",""
"1925.5","{""age"":""30""}","demog-age","126","262059","0.0-54.0","SS1646459694618","","","","","","","","","","","","","","","","","","",""
"6492.5999999940395","{""ethnicity"":[""White"",""Other""]}","demog-ethnic-US","127","268555","0.0-55.0","SS1646459694618","","","","","","","","","","","","","","","","","[0]","",""
"6564.0999999940395","{""gender"":""Male"",""education"":""Associate Degree/Technical certification""}","demog-gender-and-education","128","275123","0.0-56.0","SS1646459694618","","","","","","","","","","","","","","","","","[0,1]","",""
"14243","{""Q0"":""No it was alright.""}","survey-text","129","289371","0.0-57.0","SS1646459694618","","","feedback","","","","","","","","","","","","","","","",""
"1838.4000000059605","","instructions","130","291211","0.0-58.0","SS1646459694618","","[{""page_index"":0,""viewing_time"":1838.1000000238419}]","instructions","","","","","","","","","","","","","","","",""
