session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6273329f6e8eaf158f7a0930,613003431d7fad65932a936c,APPROVED,12:47.1,19:23.8,396.701,23,60,3,91,16:03.9,3D699F4F,United States,United States,Full-Time,English,United States,Female,Yes
6273386432708f50c059a71c,61196260ae747a4f82d37217,APPROVED,37:24.8,49:13.8,709.006,29,115,1,100,16:03.8,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,No
62734f29d8d9e444474b4fec,6128f2cf7c03cd440a5dcc47,TIMED-OUT,14:33.2,,1006769.644,30,67,1,100,,,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,No
6273507e03d3f1b16c171fa1,61356377bda43b654ccd65ca,APPROVED,20:14.0,26:18.4,364.326,24,92,3,98,16:03.7,3D699F4F,Mexico,Mexico,Due to start a new job within the next month,Spanish,Mexico,Female,Yes
6273512f240d9ab5d4717bdd,6129dc084c55f609fd62f0bc,APPROVED,23:11.1,30:11.5,420.389,29,70,1,100,16:03.7,3D699F4F,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Female,DATA EXPIRED
6273521c09cd7092ed926fc2,61157d170c26d85a7eb04dfa,APPROVED,27:16.1,35:30.5,494.392,32,92,2,99,16:03.6,3D699F4F,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Male,Yes
62735b91dd2898f5f91475c2,610f855e849f1143e741e354,APPROVED,07:29.1,13:42.7,373.55,32,38,0,100,16:03.6,3D699F4F,Zambia,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,No
62735c1d25ffdcfb4c511454,611de429688146b8fdfa6b9b,APPROVED,10:01.3,16:15.4,374.084,30,41,1,100,16:03.5,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,Yes
62735e5f86e09fe28d566e52,612dee62b4ac6d399a520347,APPROVED,19:31.0,27:51.2,500.283,30,131,0,100,16:03.4,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,No
627364a123e61a5c7f1f7752,611e1f608f92b6c9b825bcca,APPROVED,46:09.6,58:23.2,733.628,26,41,1,100,16:03.4,3D699F4F,South Africa,South Africa,Part-Time,DATA EXPIRED,South Africa,Female,Yes
62736a308b1884c52123b16d,6116ee8fcd5414630d3527e8,APPROVED,09:52.3,17:48.4,476.11,30,26,0,100,16:03.3,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,Yes
