"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"","61.535000015283","sequential-stimulus-presentation-old","75","175040","0.0-19.0-1.3","SS1619739595845","trial","","40","500","561.535000015283","images/stimuli/spore_stims/complex_17_A_b.gif","images/stimuli/spore_stims/complex_14_A_a.gif","self_paced","","5","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","","",""
"","null","html-keyboard-response","76","176141","0.0-19.0-0.4","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","102.3599999898579","sequential-stimulus-presentation-old","77","176758","0.0-19.0-1.4","SS1619739595845","trial","","40","500","602.3599999898579","images/stimuli/spore_stims/complex_17_A_b.gif","images/stimuli/spore_stims/complex_14_A_a.gif","self_paced","","5","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","","",""
"","null","html-keyboard-response","78","177975","0.0-19.0-0.5","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","20.020000025397167","sequential-stimulus-presentation-old","79","178507","0.0-19.0-1.5","SS1619739595845","trial","","40","500","520.0200000253972","images/stimuli/spore_stims/complex_17_A_b.gif","images/stimuli/spore_stims/complex_14_A_a.gif","self_paced","","5","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","","",""
"","2517.309999995632","survey-multi-choice","80","181032","0.0-20.0","SS1619739595845","math_question","","","","","","","","","","","","{""Q0"":""4""}","[0]","4"
"","null","html-keyboard-response","81","181940","0.0-21.0-0.0","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","5.774999997811392","sequential-stimulus-presentation-old","82","182459","0.0-21.0-1.0","SS1619739595845","trial","","40","500","505.7749999978114","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","",""
"","null","html-keyboard-response","83","183461","0.0-21.0-0.1","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1.7499999958090484","sequential-stimulus-presentation-old","84","183975","0.0-21.0-1.1","SS1619739595845","trial","","40","500","501.74999999580905","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","",""
