subject,rt,response,target,left_violation,right_violation,chosen_violation
SS1678170138750,2540,j,media/stimuli/animate_011_right.png,pose,identity,identity
SS1678170138750,1176,j,media/stimuli/animate_007_right.png,identity,pose,pose
SS1678170138750,883,f,media/stimuli/animate_009_right.png,pose,animacy,pose
SS1678170138750,982,f,media/stimuli/animate_012_left.png,number,animacy,number
SS1678170138750,1720,j,media/stimuli/inanimate_012_right.png,animacy,pose,pose
SS1678170138750,1124,j,media/stimuli/animate_012_left.png,animacy,identity,identity
SS1678170138750,791,j,NA,NA,NA,NA
SS1678170138750,699,j,media/stimuli/animate_005_right.png,identity,number,number
SS1678170138750,726,j,media/stimuli/animate_007_right.png,identity,number,number
SS1678170138750,790,j,media/stimuli/inanimate_002_right.png,animacy,number,number
SS1678170138750,967,j,media/stimuli/animate_009_right.png,pose,number,number
SS1678170138750,892,j,media/stimuli/animate_002_right.png,pose,number,number
SS1678170138750,814,j,media/stimuli/inanimate_004_right.png,animacy,number,number
SS1678170138750,774,f,media/stimuli/animate_005_right.png,identity,animacy,identity
SS1678170138750,1638,j,media/stimuli/animate_002_left.png,animacy,pose,pose
SS1678170138750,1833,f,media/stimuli/animate_009_right.png,pose,animacy,pose
SS1678170138750,1513,f,media/stimuli/animate_008_left.png,number,pose,number
SS1678170138750,805,j,media/stimuli/animate_009_left.png,animacy,number,number
SS1678170138750,854,j,media/stimuli/animate_012_left.png,animacy,identity,identity
SS1678170138750,693,j,NA,NA,NA,NA
SS1678170138750,1645,j,NA,NA,NA,NA
SS1678170138750,1389,f,NA,NA,NA,NA
SS1678170138750,1268,j,NA,NA,NA,NA
SS1678170138750,1974,f,media/stimuli/inanimate_011_left.png,number,pose,number
SS1678170138750,1619,j,media/stimuli/animate_011_left.png,animacy,pose,pose
SS1678170138750,742,f,media/stimuli/inanimate_001_left.png,number,animacy,number
SS1678170138750,1553,f,media/stimuli/animate_007_right.png,pose,identity,pose
SS1678170138750,1853,f,media/stimuli/animate_010_right.png,identity,pose,identity
SS1678170138750,832,f,media/stimuli/animate_002_right.png,identity,animacy,identity
SS1678170138750,801,j,media/stimuli/animate_001_left.png,identity,number,number
SS1678170138750,1861,j,media/stimuli/inanimate_003_left.png,pose,number,number
SS1678170138750,941,f,media/stimuli/animate_006_left.png,identity,animacy,identity
SS1678170138750,1181,j,media/stimuli/inanimate_001_right.png,identity,pose,pose
SS1678170138750,1632,j,media/stimuli/animate_011_left.png,animacy,pose,pose
SS1678170138750,1117,f,media/stimuli/inanimate_001_right.png,number,pose,number
SS1678170138750,2257,j,media/stimuli/animate_001_left.png,identity,pose,pose
SS1678170138750,799,f,media/stimuli/animate_008_right.png,number,identity,number
SS1678170138750,1354,j,media/stimuli/animate_002_left.png,animacy,pose,pose
SS1678170138750,956,f,media/stimuli/inanimate_008_right.png,number,pose,number
SS1678170138750,793,j,NA,NA,NA,NA
SS1678170138750,3601,j,NA,NA,NA,NA
SS1678170138750,1132,f,media/stimuli/animate_005_left.png,number,animacy,number
SS1678170138750,762,j,media/stimuli/inanimate_010_left.png,animacy,pose,pose
SS1678170138750,721,f,media/stimuli/animate_001_left.png,number,identity,number
SS1678170138750,858,j,media/stimuli/inanimate_012_right.png,animacy,number,number
SS1678170138750,630,f,media/stimuli/animate_001_left.png,number,identity,number
SS1678170138750,1355,f,media/stimuli/animate_006_left.png,number,pose,number
SS1678170138750,744,f,media/stimuli/animate_011_left.png,identity,animacy,identity
SS1678170138750,1154,f,media/stimuli/animate_011_left.png,pose,animacy,pose
SS1678170138750,667,f,media/stimuli/inanimate_003_right.png,number,identity,number
SS1678170138750,1424,f,media/stimuli/animate_004_right.png,number,pose,number
SS1678170138750,872,f,media/stimuli/inanimate_005_left.png,number,pose,number
SS1678170138750,924,j,media/stimuli/animate_010_right.png,pose,number,number
SS1678170138750,971,j,NA,NA,NA,NA
SS1678170138750,1007,j,media/stimuli/animate_009_left.png,identity,number,number
SS1678170138750,650,f,media/stimuli/animate_001_left.png,number,identity,number
SS1678170138750,1712,f,media/stimuli/inanimate_007_left.png,pose,identity,pose
SS1678170138750,667,j,media/stimuli/animate_008_right.png,identity,number,number
SS1678170138750,941,f,media/stimuli/inanimate_003_left.png,number,animacy,number
SS1678170138750,574,f,media/stimuli/inanimate_002_right.png,pose,animacy,pose
SS1678170138750,652,j,media/stimuli/animate_005_left.png,animacy,number,number
SS1678170138750,670,f,media/stimuli/inanimate_005_left.png,number,identity,number
SS1678170138750,774,f,media/stimuli/animate_005_right.png,identity,animacy,identity
SS1678170138750,2233,j,media/stimuli/inanimate_002_right.png,animacy,identity,identity
SS1678170138750,665,j,media/stimuli/inanimate_007_right.png,animacy,number,number
SS1678170138750,1959,f,media/stimuli/inanimate_005_right.png,identity,animacy,identity
SS1678170138750,730,j,NA,NA,NA,NA
SS1678170138750,1648,f,media/stimuli/animate_002_right.png,pose,identity,pose
SS1678170138750,774,j,media/stimuli/inanimate_004_right.png,identity,number,number
SS1678170138750,708,f,media/stimuli/animate_007_right.png,number,identity,number
SS1678170138750,1043,f,media/stimuli/animate_006_left.png,identity,animacy,identity
SS1678170138750,1037,j,media/stimuli/inanimate_002_right.png,number,pose,pose
SS1678170138750,1522,j,media/stimuli/animate_003_left.png,animacy,number,number
SS1678170138750,968,j,media/stimuli/animate_006_left.png,animacy,identity,identity
SS1678170138750,1323,f,media/stimuli/inanimate_010_left.png,identity,animacy,identity
SS1678170138750,933,j,media/stimuli/inanimate_012_left.png,identity,number,number
SS1678170138750,660,j,media/stimuli/inanimate_009_left.png,identity,number,number
SS1678170138750,1345,j,media/stimuli/animate_005_left.png,identity,pose,pose
SS1678170138750,2089,f,media/stimuli/inanimate_007_left.png,pose,number,pose
SS1678170138750,774,j,NA,NA,NA,NA
SS1678170138750,769,d,NA,NA,NA,NA
SS1678170138750,870,f,NA,NA,NA,NA
SS1678170138750,1412,j,media/stimuli/inanimate_004_right.png,animacy,number,number
SS1678170138750,1031,j,media/stimuli/animate_011_right.png,pose,identity,identity
SS1678170138750,781,j,media/stimuli/animate_002_left.png,animacy,pose,pose
SS1678170138750,575,j,media/stimuli/inanimate_012_right.png,animacy,number,number
SS1678170138750,870,j,media/stimuli/animate_007_right.png,animacy,identity,identity
SS1678170138750,800,j,media/stimuli/animate_007_left.png,animacy,number,number
SS1678170138750,652,j,media/stimuli/animate_006_right.png,animacy,number,number
SS1678170138750,1417,f,media/stimuli/inanimate_006_left.png,number,pose,number
SS1678170138750,1081,j,media/stimuli/inanimate_006_left.png,animacy,identity,identity
SS1678170138750,695,j,media/stimuli/inanimate_006_left.png,animacy,pose,pose
SS1678170138750,754,k,NA,NA,NA,NA
